Survived,Pclass,Title,Sex,Age,SibSp,Parch,FamilySize,Fare,Cabin,Embarked
0,3,Mr,male,22.0,1,0,2,7.25,0,S
1,1,Mrs,female,38.0,1,0,2,71.2833,1,C
1,3,Miss,female,26.0,0,0,1,7.925,0,S
1,1,Mrs,female,35.0,1,0,2,53.1,1,S
0,3,Mr,male,35.0,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.4583,0,Q
0,1,Mr,male,54.0,0,0,1,51.8625,1,S
0,3,Master,male,2.0,3,1,5,21.075,0,S
1,3,Mrs,female,27.0,0,2,3,11.1333,0,S
1,2,Mrs,female,14.0,1,0,2,30.0708,0,C
1,3,Miss,female,4.0,1,1,3,16.7,1,S
1,1,Miss,female,58.0,0,0,1,26.55,1,S
0,3,Mr,male,20.0,0,0,1,8.05,0,S
0,3,Mr,male,39.0,1,5,7,31.275,0,S
0,3,Miss,female,14.0,0,0,1,7.8542,0,S
1,2,Mrs,female,55.0,0,0,1,16.0,0,S
0,3,Master,male,2.0,4,1,6,29.125,0,Q
1,2,Mr,male,29.69911764705882,0,0,1,13.0,0,S
0,3,Mrs,female,31.0,1,0,2,18.0,0,S
1,3,Mrs,female,29.69911764705882,0,0,1,7.225,0,C
0,2,Mr,male,35.0,0,0,1,26.0,0,S
1,2,Mr,male,34.0,0,0,1,13.0,1,S
1,3,Miss,female,15.0,0,0,1,8.0292,0,Q
1,1,Mr,male,28.0,0,0,1,35.5,1,S
0,3,Miss,female,8.0,3,1,5,21.075,0,S
1,3,Mrs,female,38.0,1,5,7,31.3875,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.225,0,C
0,1,Mr,male,19.0,3,2,6,263.0,1,S
1,3,Miss,female,29.69911764705882,0,0,1,7.8792,0,Q
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,1,Rare,male,40.0,0,0,1,27.7208,0,C
1,1,Mrs,female,29.69911764705882,1,0,2,146.5208,1,C
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
0,2,Mr,male,66.0,0,0,1,10.5,0,S
0,1,Mr,male,28.0,1,0,2,82.1708,0,C
0,1,Mr,male,42.0,1,0,2,52.0,0,S
1,3,Mr,male,29.69911764705882,0,0,1,7.2292,0,C
0,3,Mr,male,21.0,0,0,1,8.05,0,S
0,3,Miss,female,18.0,2,0,3,18.0,0,S
1,3,Miss,female,14.0,1,0,2,11.2417,0,C
0,3,Mrs,female,40.0,1,0,2,9.475,0,S
0,2,Mrs,female,27.0,1,0,2,21.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,C
1,2,Miss,female,3.0,1,2,4,41.5792,0,C
1,3,Miss,female,19.0,0,0,1,7.8792,0,Q
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,1,0,2,15.5,0,Q
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
0,3,Mr,male,29.69911764705882,2,0,3,21.6792,0,C
0,3,Mrs,female,18.0,1,0,2,17.8,0,S
0,3,Master,male,7.0,4,1,6,39.6875,0,S
0,3,Mr,male,21.0,0,0,1,7.8,0,S
1,1,Mrs,female,49.0,1,0,2,76.7292,1,C
1,2,Mrs,female,29.0,1,0,2,26.0,0,S
0,1,Mr,male,65.0,0,1,2,61.9792,1,C
1,1,Mr,male,29.69911764705882,0,0,1,35.5,1,S
1,2,Miss,female,21.0,0,0,1,10.5,0,S
0,3,Mr,male,28.5,0,0,1,7.2292,0,C
1,2,Miss,female,5.0,1,2,4,27.75,0,S
0,3,Master,male,11.0,5,2,8,46.9,0,S
0,3,Mr,male,22.0,0,0,1,7.2292,0,C
1,1,Miss,female,38.0,0,0,1,80.0,1,S
0,1,Mr,male,45.0,1,0,2,83.475,1,S
0,3,Master,male,4.0,3,2,6,27.9,0,S
0,1,Mr,male,29.69911764705882,0,0,1,27.7208,0,C
1,3,Master,male,29.69911764705882,1,1,3,15.2458,0,C
1,2,Mrs,female,29.0,0,0,1,10.5,1,S
0,3,Mr,male,19.0,0,0,1,8.1583,0,S
1,3,Miss,female,17.0,4,2,7,7.925,0,S
0,3,Mr,male,26.0,2,0,3,8.6625,0,S
0,2,Mr,male,32.0,0,0,1,10.5,0,S
0,3,Miss,female,16.0,5,2,8,46.9,0,S
0,2,Mr,male,21.0,0,0,1,73.5,0,S
0,3,Mr,male,26.0,1,0,2,14.4542,0,C
1,3,Mr,male,32.0,0,0,1,56.4958,0,S
0,3,Mr,male,25.0,0,0,1,7.65,1,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
1,2,Master,male,0.83,0,2,3,29.0,0,S
1,3,Miss,female,30.0,0,0,1,12.475,0,S
0,3,Mr,male,22.0,0,0,1,9.0,0,S
1,3,Mr,male,29.0,0,0,1,9.5,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.7875,0,Q
0,1,Mr,male,28.0,0,0,1,47.1,0,S
1,2,Miss,female,17.0,0,0,1,10.5,0,S
1,3,Mrs,female,33.0,3,0,4,15.85,0,S
0,3,Mr,male,16.0,1,3,5,34.375,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
1,1,Miss,female,23.0,3,2,6,263.0,1,S
0,3,Mr,male,24.0,0,0,1,8.05,0,S
0,3,Mr,male,29.0,0,0,1,8.05,0,S
0,3,Mr,male,20.0,0,0,1,7.8542,0,S
0,1,Mr,male,46.0,1,0,2,61.175,1,S
0,3,Mr,male,26.0,1,2,4,20.575,0,S
0,3,Mr,male,59.0,0,0,1,7.25,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
0,1,Mr,male,71.0,0,0,1,34.6542,1,C
1,1,Mr,male,23.0,0,1,2,63.3583,1,C
1,2,Mrs,female,34.0,0,1,2,23.0,0,S
0,2,Mr,male,34.0,1,0,2,26.0,0,S
0,3,Miss,female,28.0,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,1,Mr,male,21.0,0,1,2,77.2875,1,S
0,3,Mr,male,33.0,0,0,1,8.6542,0,S
0,3,Mr,male,37.0,2,0,3,7.925,0,S
0,3,Mr,male,28.0,0,0,1,7.8958,0,S
1,3,Miss,female,21.0,0,0,1,7.65,0,S
1,3,Mr,male,29.69911764705882,0,0,1,7.775,0,S
0,3,Mr,male,38.0,0,0,1,7.8958,0,S
1,3,Miss,female,29.69911764705882,1,0,2,24.15,0,Q
0,1,Mr,male,47.0,0,0,1,52.0,1,S
0,3,Miss,female,14.5,1,0,2,14.4542,0,C
0,3,Mr,male,22.0,0,0,1,8.05,0,S
0,3,Miss,female,20.0,1,0,2,9.825,0,S
0,3,Miss,female,17.0,0,0,1,14.4583,0,C
0,3,Mr,male,21.0,0,0,1,7.925,0,S
0,3,Mr,male,70.5,0,0,1,7.75,0,Q
0,2,Mr,male,29.0,1,0,2,21.0,0,S
0,1,Mr,male,24.0,0,1,2,247.5208,1,C
0,3,Miss,female,2.0,4,2,7,31.275,0,S
0,2,Mr,male,21.0,2,0,3,73.5,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
0,2,Mr,male,32.5,1,0,2,30.0708,0,C
1,2,Miss,female,32.5,0,0,1,13.0,1,S
0,1,Mr,male,54.0,0,1,2,77.2875,1,S
1,3,Master,male,12.0,1,0,2,11.2417,0,C
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
1,3,Mr,male,24.0,0,0,1,7.1417,0,S
1,3,Miss,female,29.69911764705882,1,1,3,22.3583,1,C
0,3,Mr,male,45.0,0,0,1,6.975,0,S
0,3,Mr,male,33.0,0,0,1,7.8958,0,C
0,3,Mr,male,20.0,0,0,1,7.05,0,S
0,3,Mrs,female,47.0,1,0,2,14.5,0,S
1,2,Mrs,female,29.0,1,0,2,26.0,0,S
0,2,Mr,male,25.0,0,0,1,13.0,0,S
0,2,Mr,male,23.0,0,0,1,15.0458,0,C
1,1,Miss,female,19.0,0,2,3,26.2833,1,S
0,1,Mr,male,37.0,1,0,2,53.1,1,S
0,3,Mr,male,16.0,0,0,1,9.2167,0,S
0,1,Mr,male,24.0,0,0,1,79.2,1,C
0,3,Mrs,female,29.69911764705882,0,2,3,15.2458,0,C
1,3,Miss,female,22.0,0,0,1,7.75,0,S
1,3,Mrs,female,24.0,1,0,2,15.85,0,S
0,3,Mr,male,19.0,0,0,1,6.75,0,Q
0,2,Mr,male,18.0,0,0,1,11.5,0,S
0,2,Mr,male,19.0,1,1,3,36.75,0,S
1,3,Mr,male,27.0,0,0,1,7.7958,0,S
0,3,Miss,female,9.0,2,2,5,34.375,0,S
0,2,Mr,male,36.5,0,2,3,26.0,1,S
0,2,Rare,male,42.0,0,0,1,13.0,0,S
0,2,Rare,male,51.0,0,0,1,12.525,0,S
1,1,Mrs,female,22.0,1,0,2,66.6,1,S
0,3,Mr,male,55.5,0,0,1,8.05,0,S
0,3,Mr,male,40.5,0,2,3,14.5,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.3125,0,S
0,1,Mr,male,51.0,0,1,2,61.3792,0,C
1,3,Miss,female,16.0,0,0,1,7.7333,0,Q
0,3,Mr,male,30.0,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,0,0,1,8.6625,0,S
0,3,Master,male,29.69911764705882,8,2,11,69.55,0,S
0,3,Mr,male,44.0,0,1,2,16.1,0,S
1,2,Mrs,female,40.0,0,0,1,15.75,0,S
0,3,Mr,male,26.0,0,0,1,7.775,0,S
0,3,Mr,male,17.0,0,0,1,8.6625,0,S
0,3,Master,male,1.0,4,1,6,39.6875,0,S
1,3,Master,male,9.0,0,2,3,20.525,0,S
1,1,Mrs,female,29.69911764705882,0,1,2,55.0,1,S
0,3,Mrs,female,45.0,1,4,6,27.9,0,S
0,1,Mr,male,29.69911764705882,0,0,1,25.925,0,S
0,3,Mr,male,28.0,0,0,1,56.4958,0,S
0,1,Mr,male,61.0,0,0,1,33.5,1,S
0,3,Master,male,4.0,4,1,6,29.125,0,Q
1,3,Miss,female,1.0,1,1,3,11.1333,0,S
0,3,Mr,male,21.0,0,0,1,7.925,0,S
0,1,Mr,male,56.0,0,0,1,30.6958,1,C
0,3,Mr,male,18.0,1,1,3,7.8542,0,S
0,3,Master,male,29.69911764705882,3,1,5,25.4667,0,S
0,1,Miss,female,50.0,0,0,1,28.7125,1,C
0,2,Mr,male,30.0,0,0,1,13.0,0,S
0,3,Mr,male,36.0,0,0,1,0.0,0,S
0,3,Miss,female,29.69911764705882,8,2,11,69.55,0,S
0,2,Mr,male,29.69911764705882,0,0,1,15.05,0,C
0,3,Master,male,9.0,4,2,7,31.3875,0,S
1,2,Master,male,1.0,2,1,4,39.0,1,S
1,3,Miss,female,4.0,0,2,3,22.025,0,S
0,1,Mr,male,29.69911764705882,0,0,1,50.0,1,S
1,3,Mrs,female,29.69911764705882,1,0,2,15.5,0,Q
1,1,Mr,male,45.0,0,0,1,26.55,0,S
0,3,Mr,male,40.0,1,1,3,15.5,0,Q
0,3,Mr,male,36.0,0,0,1,7.8958,0,S
1,2,Mrs,female,32.0,0,0,1,13.0,0,S
0,2,Mr,male,19.0,0,0,1,13.0,0,S
1,3,Miss,female,19.0,1,0,2,7.8542,0,S
1,2,Master,male,3.0,1,1,3,26.0,1,S
1,1,Mrs,female,44.0,0,0,1,27.7208,1,C
1,1,Miss,female,58.0,0,0,1,146.5208,1,C
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
0,3,Mr,male,42.0,0,1,2,8.4042,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
0,2,Miss,female,24.0,0,0,1,13.0,0,S
0,3,Mr,male,28.0,0,0,1,9.5,0,S
0,3,Mr,male,29.69911764705882,8,2,11,69.55,0,S
0,3,Mr,male,34.0,0,0,1,6.4958,0,S
0,3,Mr,male,45.5,0,0,1,7.225,0,C
1,3,Mr,male,18.0,0,0,1,8.05,0,S
0,3,Miss,female,2.0,0,1,2,10.4625,1,S
0,3,Mr,male,32.0,1,0,2,15.85,0,S
1,3,Mr,male,26.0,0,0,1,18.7875,0,C
1,3,Miss,female,16.0,0,0,1,7.75,0,Q
1,1,Mr,male,40.0,0,0,1,31.0,1,C
0,3,Mr,male,24.0,0,0,1,7.05,0,S
1,2,Miss,female,35.0,0,0,1,21.0,0,S
0,3,Mr,male,22.0,0,0,1,7.25,0,S
0,2,Mr,male,30.0,0,0,1,13.0,0,S
0,3,Mr,male,29.69911764705882,1,0,2,7.75,0,Q
1,1,Miss,female,31.0,1,0,2,113.275,1,C
1,3,Miss,female,27.0,0,0,1,7.925,0,S
0,2,Mr,male,42.0,1,0,2,27.0,0,S
1,1,Miss,female,32.0,0,0,1,76.2917,1,C
0,2,Mr,male,30.0,0,0,1,10.5,0,S
1,3,Mr,male,16.0,0,0,1,8.05,0,S
0,2,Mr,male,27.0,0,0,1,13.0,0,S
0,3,Mr,male,51.0,0,0,1,8.05,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
1,1,Mr,male,38.0,1,0,2,90.0,1,S
0,3,Mr,male,22.0,0,0,1,9.35,0,S
1,2,Mr,male,19.0,0,0,1,10.5,0,S
0,3,Mr,male,20.5,0,0,1,7.25,0,S
0,2,Mr,male,18.0,0,0,1,13.0,0,S
0,3,Miss,female,29.69911764705882,3,1,5,25.4667,0,S
1,1,Mrs,female,35.0,1,0,2,83.475,1,S
0,3,Mr,male,29.0,0,0,1,7.775,0,S
0,2,Mr,male,59.0,0,0,1,13.5,0,S
1,3,Miss,female,5.0,4,2,7,31.3875,0,S
0,2,Mr,male,24.0,0,0,1,10.5,0,S
0,3,Miss,female,29.69911764705882,0,0,1,7.55,0,S
0,2,Mr,male,44.0,1,0,2,26.0,0,S
1,2,Miss,female,8.0,0,2,3,26.25,0,S
0,2,Mr,male,19.0,0,0,1,10.5,0,S
0,2,Mr,male,33.0,0,0,1,12.275,0,S
0,3,Miss,female,29.69911764705882,1,0,2,14.4542,0,C
1,3,Miss,female,29.69911764705882,1,0,2,15.5,0,Q
0,2,Mr,male,29.0,0,0,1,10.5,0,S
0,3,Mr,male,22.0,0,0,1,7.125,0,S
0,3,Mr,male,30.0,0,0,1,7.225,0,C
0,1,Rare,male,44.0,2,0,3,90.0,1,Q
0,3,Miss,female,25.0,0,0,1,7.775,0,S
1,2,Mrs,female,24.0,0,2,3,14.5,0,S
1,1,Mr,male,37.0,1,1,3,52.5542,1,S
0,2,Rare,male,54.0,1,0,2,26.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.25,0,S
0,3,Mrs,female,29.0,1,1,3,10.4625,1,S
0,1,Mr,male,62.0,0,0,1,26.55,1,S
0,3,Mr,male,30.0,1,0,2,16.1,0,S
0,3,Mrs,female,41.0,0,2,3,20.2125,0,S
1,3,Mrs,female,29.0,0,2,3,15.2458,0,C
1,1,Mrs,female,29.69911764705882,0,0,1,79.2,0,C
1,1,Miss,female,30.0,0,0,1,86.5,1,S
1,1,Miss,female,35.0,0,0,1,512.3292,0,C
1,2,Mrs,female,50.0,0,1,2,26.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
1,3,Master,male,3.0,4,2,7,31.3875,0,S
0,1,Mr,male,52.0,1,1,3,79.65,1,S
0,1,Mr,male,40.0,0,0,1,0.0,1,S
0,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
0,2,Mr,male,36.0,0,0,1,10.5,0,S
0,3,Mr,male,16.0,4,1,6,39.6875,0,S
1,3,Mr,male,25.0,1,0,2,7.775,0,S
1,1,Mrs,female,58.0,0,1,2,153.4625,1,S
1,1,Miss,female,35.0,0,0,1,135.6333,1,S
0,1,Mr,male,29.69911764705882,0,0,1,31.0,0,S
1,3,Mr,male,25.0,0,0,1,0.0,0,S
1,2,Mrs,female,41.0,0,1,2,19.5,0,S
0,1,Mr,male,37.0,0,1,2,29.7,1,C
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
1,1,Miss,female,63.0,1,0,2,77.9583,1,S
0,3,Miss,female,45.0,0,0,1,7.75,0,S
0,2,Mr,male,29.69911764705882,0,0,1,0.0,0,S
0,3,Master,male,7.0,4,1,6,29.125,0,Q
1,3,Mrs,female,35.0,1,1,3,20.25,0,S
0,3,Mr,male,65.0,0,0,1,7.75,0,Q
0,3,Mr,male,28.0,0,0,1,7.8542,0,S
0,3,Mr,male,16.0,0,0,1,9.5,0,S
1,3,Mr,male,19.0,0,0,1,8.05,0,S
0,1,Mr,male,29.69911764705882,0,0,1,26.0,1,S
0,3,Mr,male,33.0,0,0,1,8.6625,0,C
1,3,Mr,male,30.0,0,0,1,9.5,0,S
0,3,Mr,male,22.0,0,0,1,7.8958,0,S
1,2,Mr,male,42.0,0,0,1,13.0,0,S
1,3,Miss,female,22.0,0,0,1,7.75,0,Q
1,1,Miss,female,26.0,0,0,1,78.85,0,S
1,1,Mrs,female,19.0,1,0,2,91.0792,1,C
0,2,Mr,male,36.0,0,0,1,12.875,1,C
0,3,Miss,female,24.0,0,0,1,8.85,0,S
0,3,Mr,male,24.0,0,0,1,7.8958,0,S
0,1,Mr,male,29.69911764705882,0,0,1,27.7208,0,C
0,3,Mr,male,23.5,0,0,1,7.2292,0,C
0,1,Miss,female,2.0,1,2,4,151.55,1,S
1,1,Mr,male,29.69911764705882,0,0,1,30.5,1,S
1,1,Mrs,female,50.0,0,1,2,247.5208,1,C
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
1,3,Mr,male,29.69911764705882,2,0,3,23.25,0,Q
0,3,Mr,male,19.0,0,0,1,0.0,0,S
1,2,Miss,female,29.69911764705882,0,0,1,12.35,1,Q
0,3,Mr,male,29.69911764705882,0,0,1,8.05,0,S
1,1,Master,male,0.92,1,2,4,151.55,1,S
1,1,Miss,female,29.69911764705882,0,0,1,110.8833,0,C
1,1,Mrs,female,17.0,1,0,2,108.9,1,C
0,2,Mr,male,30.0,1,0,2,24.0,0,C
1,1,Miss,female,30.0,0,0,1,56.9292,1,C
1,1,Miss,female,24.0,0,0,1,83.1583,1,C
1,1,Miss,female,18.0,2,2,5,262.375,1,C
0,2,Mrs,female,26.0,1,1,3,26.0,0,S
0,3,Mr,male,28.0,0,0,1,7.8958,0,S
0,2,Mr,male,43.0,1,1,3,26.25,0,S
1,3,Miss,female,26.0,0,0,1,7.8542,0,S
1,2,Mrs,female,24.0,1,0,2,26.0,0,S
0,2,Rare,male,54.0,0,0,1,14.0,0,S
1,1,Miss,female,31.0,0,2,3,164.8667,1,S
1,1,Mrs,female,40.0,1,1,3,134.5,1,C
0,3,Mr,male,22.0,0,0,1,7.25,0,S
0,3,Mr,male,27.0,0,0,1,7.8958,0,S
1,2,Miss,female,30.0,0,0,1,12.35,0,Q
1,2,Mrs,female,22.0,1,1,3,29.0,0,S
0,3,Mr,male,29.69911764705882,8,2,11,69.55,0,S
1,1,Miss,female,36.0,0,0,1,135.6333,1,C
0,3,Mr,male,61.0,0,0,1,6.2375,0,S
1,2,Mrs,female,36.0,0,0,1,13.0,1,S
1,3,Mrs,female,31.0,1,1,3,20.525,0,S
1,1,Miss,female,16.0,0,1,2,57.9792,1,C
1,3,Miss,female,29.69911764705882,2,0,3,23.25,0,Q
0,1,Mr,male,45.5,0,0,1,28.5,1,S
0,1,Mr,male,38.0,0,1,2,153.4625,1,S
0,3,Mr,male,16.0,2,0,3,18.0,0,S
1,1,Mrs,female,29.69911764705882,1,0,2,133.65,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,1,Mr,male,29.0,1,0,2,66.6,1,S
1,1,Miss,female,41.0,0,0,1,134.5,1,C
1,3,Mr,male,45.0,0,0,1,8.05,0,S
0,1,Mr,male,45.0,0,0,1,35.5,1,S
1,2,Master,male,2.0,1,1,3,26.0,1,S
1,1,Miss,female,24.0,3,2,6,263.0,1,S
0,2,Mr,male,28.0,0,0,1,13.0,0,S
0,2,Mr,male,25.0,0,0,1,13.0,0,S
0,2,Mr,male,36.0,0,0,1,13.0,0,S
1,2,Miss,female,24.0,0,0,1,13.0,1,S
1,2,Miss,female,40.0,0,0,1,13.0,0,S
1,3,Mrs,female,29.69911764705882,1,0,2,16.1,0,S
1,3,Master,male,3.0,1,1,3,15.9,0,S
0,3,Mr,male,42.0,0,0,1,8.6625,0,S
0,3,Mr,male,23.0,0,0,1,9.225,0,S
0,1,Mr,male,29.69911764705882,0,0,1,35.0,1,S
0,3,Mr,male,15.0,1,1,3,7.2292,0,C
0,3,Mr,male,25.0,1,0,2,17.8,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.225,0,C
0,3,Mr,male,28.0,0,0,1,9.5,0,S
1,1,Miss,female,22.0,0,1,2,55.0,1,S
0,2,Miss,female,38.0,0,0,1,13.0,0,S
1,3,Miss,female,29.69911764705882,0,0,1,7.8792,0,Q
1,3,Miss,female,29.69911764705882,0,0,1,7.8792,0,Q
0,3,Mr,male,40.0,1,4,6,27.9,0,S
0,2,Mr,male,29.0,1,0,2,27.7208,0,C
0,3,Mrs,female,45.0,0,1,2,14.4542,0,C
0,3,Mr,male,35.0,0,0,1,7.05,0,S
0,3,Mr,male,29.69911764705882,1,0,2,15.5,0,Q
0,3,Mr,male,30.0,0,0,1,7.25,0,S
1,1,Mrs,female,60.0,1,0,2,75.25,1,C
1,3,Mrs,female,29.69911764705882,0,0,1,7.2292,0,C
1,3,Miss,female,29.69911764705882,0,0,1,7.75,0,Q
1,1,Mrs,female,24.0,0,0,1,69.3,1,C
1,1,Mr,male,25.0,1,0,2,55.4417,1,C
0,3,Mr,male,18.0,1,0,2,6.4958,0,S
0,3,Mr,male,19.0,0,0,1,8.05,0,S
0,1,Mr,male,22.0,0,0,1,135.6333,0,C
0,3,Miss,female,3.0,3,1,5,21.075,0,S
1,1,Mrs,female,29.69911764705882,1,0,2,82.1708,0,C
1,3,Miss,female,22.0,0,0,1,7.25,0,S
0,1,Mr,male,27.0,0,2,3,211.5,1,C
0,3,Mr,male,20.0,0,0,1,4.0125,0,C
0,3,Mr,male,19.0,0,0,1,7.775,0,S
1,1,Miss,female,42.0,0,0,1,227.525,0,C
1,3,Miss,female,1.0,0,2,3,15.7417,0,C
0,3,Mr,male,32.0,0,0,1,7.925,0,S
1,1,Mrs,female,35.0,1,0,2,52.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,2,Mr,male,18.0,0,0,1,73.5,0,S
0,3,Master,male,1.0,5,2,8,46.9,0,S
1,2,Miss,female,36.0,0,0,1,13.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.7292,0,Q
1,2,Miss,female,17.0,0,0,1,12.0,0,C
1,1,Mr,male,36.0,1,2,4,120.0,1,S
1,3,Mr,male,21.0,0,0,1,7.7958,0,S
0,3,Mr,male,28.0,2,0,3,7.925,0,S
1,1,Miss,female,23.0,1,0,2,113.275,1,C
1,3,Mrs,female,24.0,0,2,3,16.7,1,S
0,3,Mr,male,22.0,0,0,1,7.7958,0,S
0,3,Miss,female,31.0,0,0,1,7.8542,0,S
0,2,Mr,male,46.0,0,0,1,26.0,0,S
0,2,Rare,male,23.0,0,0,1,10.5,0,S
1,2,Mrs,female,28.0,0,0,1,12.65,0,S
1,3,Mr,male,39.0,0,0,1,7.925,0,S
0,3,Mr,male,26.0,0,0,1,8.05,0,S
0,3,Miss,female,21.0,1,0,2,9.825,0,S
0,3,Mr,male,28.0,1,0,2,15.85,0,S
0,3,Miss,female,20.0,0,0,1,8.6625,0,S
0,2,Mr,male,34.0,1,0,2,21.0,0,S
0,3,Mr,male,51.0,0,0,1,7.75,0,S
1,2,Master,male,3.0,1,1,3,18.75,0,S
0,3,Mr,male,21.0,0,0,1,7.775,0,S
0,3,Miss,female,29.69911764705882,3,1,5,25.4667,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,S
0,3,Mr,male,29.69911764705882,0,0,1,6.8583,0,Q
1,1,Miss,female,33.0,1,0,2,90.0,1,Q
0,2,Mr,male,29.69911764705882,0,0,1,0.0,0,S
1,3,Mr,male,44.0,0,0,1,7.925,0,S
0,3,Mrs,female,29.69911764705882,0,0,1,8.05,0,S
1,2,Mrs,female,34.0,1,1,3,32.5,0,S
1,2,Miss,female,18.0,0,2,3,13.0,0,S
0,2,Mr,male,30.0,0,0,1,13.0,0,S
0,3,Miss,female,10.0,0,2,3,24.15,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.8958,0,C
0,3,Mr,male,21.0,0,0,1,7.7333,0,Q
0,3,Mr,male,29.0,0,0,1,7.875,0,S
0,3,Mrs,female,28.0,1,1,3,14.4,0,S
0,3,Mr,male,18.0,1,1,3,20.2125,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.25,0,S
1,2,Mrs,female,28.0,1,0,2,26.0,0,S
1,2,Miss,female,19.0,0,0,1,26.0,0,S
0,3,Mr,male,29.69911764705882,0,0,1,7.75,0,Q
1,3,Mr,male,32.0,0,0,1,8.05,1,S
1,1,Mr,male,28.0,0,0,1,26.55,1,S
1,3,Mrs,female,29.69911764705882,1,0,2,16.1,0,S
1,2,Mrs,female,42.0,1,0,2,26.0,0,S
0,3,Mr,male,17.0,0,0,1,7.125,0,S
0,1,Mr,male,50.0,1,0,2,55.9,1,S
1,1,Miss,female,14.0,1,2,4,120.0,1,S
0,3,Miss,female,21.0,2,2,5,34.375,0,S
1,2,Mrs,female,24.0,2,3,6,18.75,0,S
0,1,Mr,male,64.0,1,4,6,263.0,1,S
0,2,Mr,male,31.0,0,0,1,10.5,0,S
1,2,Mrs,female,45.0,1,1,3,26.25,0,S
0,3,Mr,male,20.0,0,0,1,9.5,0,S
0,3,Mr,male,25.0,1,0,2,7.775,0,S
